Item;CF;NN;Anchor;LIME;SHAP;DT
EQ01;4 [2 - 5];4 [3 - 6];6 [4 - 6];6 [5 - 6];3 [2 - 5];6 [4 - 7]
EQ02;5 [3 - 6];4 [3 - 6];7 [5 - 7];6 [4 - 7];4 [2 - 5];7 [5 - 7]
EQ03;4 [2 - 6];3 [2 - 6];6 [5 - 7];5 [4 - 6];3 [2 - 6];6 [5 - 7]
EQ04;4 [3 - 6];4 [3 - 5];6 [5 - 7];5 [4 - 7];4 [2 - 5];6 [5 - 7]
EQ05;5 [3 - 6];4 [3 - 6];6 [5 - 7];6 [4 - 6];4 [2 - 5];6 [5 - 7]
EQ06;4 [2 - 6];4 [2 - 6];7 [6 - 7];5 [4 - 7];4 [2 - 6];6 [3 - 7]
EQ07;3 [2 - 5];3 [2 - 4];6 [5 - 7];5 [3 - 6];3 [1 - 5];6 [4 - 7]
EQ08;3 [2 - 5];3 [2 - 5];6 [4 - 7];5 [3 - 6];2 [1 - 4];6 [5 - 7]
